pods,target_rate,achieved_rate,requests,success_rate,errors,mean_ms,p50_ms,p95_ms,p99_ms,max_ms
1,1,1.022284848476419,30,1.0,0,1594.563899,348.4655,6741.488624,7741.528,7741.528
1,2,2.010738342555374,60,1.0,0,387.87424,341.948041,509.548353,1182.205138,1220.590959
1,3,2.9994579062729065,90,1.0,0,343.918352,344.65202,384.59875,500.015999,547.826833
1,4,3.025984882402492,120,1.0,0,6546.967942,7012.23227,10346.291354,10421.156846,10423.234709
1,5,2.918117151246688,150,1.0,0,14015.237353,16502.077426,21386.831667,22127.755458,22439.437833
2,2,2.0109877999754726,60,1.0,0,453.902114,340.212145,348.843729,6268.939175,6902.231042
2,4,3.9886820150652023,120,1.0,0,350.401779,342.997437,399.558395,413.632895,422.204834
2,6,4.993036240095029,180,1.0,0,4311.633165,4320.869198,7792.844375,9020.155429,9149.574333
2,8,3.922244860506312,240,0.9333333333333333,1,17682.225174,18744.346189,30000.694729,30001.421291,30001.4545
2,10,2.1034878223616804,300,0.42,1,24337.819489,30000.299119,30001.356604,30001.473333,30001.494166
4,4,3.987162935793946,120,1.0,0,532.005859,345.907791,1588.780103,7159.767899,7859.387625
4,6,5.112686873194439,180,1.0,0,3978.716123,4107.461552,6980.4395,7405.880579,7439.289875
4,8,3.2376250531507376,240,0.7166666666666667,4,16441.228924,16166.420268,30001.282729,30001.327341,30001.3605
4,10,2.2203204521434565,300,0.43666666666666665,1,24548.651706,30000.289296,30001.234646,30001.388437,30001.447125
4,12,1.4686709425154612,360,0.24444444444444444,1,26918.509529,30000.424512,30001.300416,30001.396037,30002.264334
4,14,0.8176337087361022,420,0.11666666666666667,3,28256.545868,30000.497178,30001.273062,30001.367937,30010.852917
