pods,users,requests,failures,qps,avg_latency_ms,p50_ms,p95_ms,p99_ms
1,1,62,0,1.4045720608915322,711.6686935816335,540.0,1100.0,3900.0
1,2,98,0,2.2466712991124473,889.4262083257282,860.0,1600.0,2200.0
1,4,122,0,2.776872191677143,1419.9801932950695,1400.0,2200.0,3000.0
1,8,72,0,1.8398911381600411,3671.4395873746575,3400.0,8600.0,12000.0
1,16,35,0,0.8015502963492704,14735.221334541817,11000.0,31000.0,31000.0
2,1,49,0,1.1121682724473103,898.8197738582705,600.0,2100.0,5000.0
2,2,108,0,2.4695306250750493,807.812121483881,700.0,1300.0,1600.0
2,4,146,0,3.3214839657361583,1190.7461863959986,1100.0,2100.0,2400.0
2,8,99,0,2.298206498186282,3204.8954111812027,2400.0,8200.0,15000.0
2,16,131,0,2.9707168296579254,5017.080974551398,4500.0,9000.0,11000.0
4,1,61,0,1.4068153397355432,710.5218640549613,570.0,1700.0,2500.0
4,2,114,0,2.6099859678307595,765.8415116337046,690.0,1200.0,1500.0
4,4,144,0,3.274536089640239,1191.6574209503274,1100.0,2100.0,2600.0
4,8,147,0,3.362181689115723,2320.525440781418,2000.0,4200.0,5800.0
4,16,131,0,2.966465481652624,5075.1155115040165,4500.0,9700.0,11000.0
8,1,51,0,1.1673643400631943,856.4935799975715,690.0,1800.0,3100.0
8,2,124,0,2.854745265483989,700.2671585876435,650.0,1100.0,1300.0
8,4,140,0,3.2111489731315883,1239.5132136822212,1100.0,2500.0,2800.0
8,8,128,0,2.905197411906249,2660.4372831902765,2500.0,4900.0,5900.0
8,16,122,0,2.7716335288231826,5314.277162607931,4900.0,9700.0,12000.0
